predicted,ground_truth,correct
,85ن26110,False
,61ص44399,False
,95م88199,False
,93د59855,False
,5971363,False
,87ج13110,False
,76ل37988,False
,47ط73819,False
,68م55435,False
,67ق42263,False
,98ص46147,False
,45د43671,False
,76ط52119,False
,65ط62363,False
,84ق11566,False
,73ص73334,False
,63ب81993,False
,55ص93863,False
,83و95363,False
,45م41963,False
,82و69663,False
,39ص11944,False
,56س11788,False
,95ب66367,False
,61م12319,False
,44ج82988,False
,68ی82499,False
,21ن22822,False
,73د81412,False
,8199563,False
,86و56755,False
,22ج47616,False
,46د82773,False
,15ل14363,False
,22ن99383,False
,66ص92218,False
,69ی11663,False
,23ی32263,False
,5317899,False
,53ب52866,False
,74س34263,False
,83ب36566,False
,52ن36411,False
,45ت62463,False
,11د57966,False
,21ط19311,False
,83ج82531,False
,92ب74716,False
,722ا882155,False
,59ب59544,False
,ق61110,False
,32س71644,False
,73ت93622,False
,64ب75355,False
,89ط68577,False
,54ق81557,False
,97ق88155,False
,98ص68355,False
,59ل87335,False
,37ی96863,False
,17ع53216,False
,41و27214,False
,77ج23573,False
,91و46621,False
,49س61868,False
,98ص46147,False
,36ج79651,False
,38ل78463,False
,41س61631,False
,51ی23563,False
,29ج42929,False
,33ط18636,False
,81ل37163,False
,49ب17789,False
,74و35563,False
,27ل98699,False
,59ب51220,False
,26س87110,False
,69م56210,False
,47ل94811,False
,2368216,False
,76و73710,False
,34ج88177,False
,14ص85537,False
,78ج79177,False
,12د34563,False
,8838243,False
,89و51653,False
,38ل78463,False
,42س68863,False
,59ط36510,False
,72س22763,False
,82س18153,False
,79ط44213,False
,65ت33722,False
,13ی43563,False
,61ص48747,False
,81ل37163,False
,47ن91177,False
,99ط83317,False
,91ب91510,False
,78م76288,False
,91د26438,False
,24ی22863,False
,49ب34844,False
,8838243,False
,36ت54263,False
,17ی96973,False
,42ج88110,False
,93د64411,False
,98ت44633,False
,79ب81324,False
,12ی55363,False
,92ل54763,False
,75ن42232,False
,52ل93821,False
,35و71763,False
,64و41736,False
,96د56247,False
,49ط42977,False
,18د96167,False
,83ج82531,False
,39د27216,False
,27ل98699,False
,36و68863,False
,66د61910,False
,48ل57214,False
,29ب77263,False
,48ت85333,False
,4424333,False
,75ل68878,False
,82و69663,False
,5341599,False
,15ل14363,False
,61ب19547,False
,16ی55873,False
,64ن79211,False
,92و52388,False
,77ل91177,False
,21س11587,False
,67د94344,False
,74ل67411,False
,12و81534,False
,46ج89663,False
,26ب74416,False
,85ط84116,False
,52ط65473,False
,79ق67616,False
,53ص17268,False
,53ق43263,False
,21ج22538,False
,23ن78899,False
,71ن55238,False
,69ی11663,False
,47ط93411,False
,95ق49416,False
,29ق95310,False
,71م37417,False
,11ط73399,False
,76س95222,False
,12و85533,False
,82ن82212,False
,39ج96758,False
,57ل66316,False
,59ج29549,False
,33ن45463,False
,97ج88610,False
,77س65638,False
,12ط25347,False
,25ق88711,False
,91ی36763,False
,33ت85616,False
,96س77174,False
,4185163,False
,35و71763,False
,44ط25617,False
,59ب51220,False
,12ق44593,False
,98ب82820,False
,29ج42929,False
,81ص87247,False
,19م15316,False
,57ن64683,False
,42س12547,False
,34ب31720,False
,69م44977,False
,46ع11216,False
,12ع85898,False
,18م93398,False
,27م54198,False
,75و88166,False
,21ل95498,False
,31م15798,False
,57ج72198,False
,31م91498,False
,5357944,False
,91ج65732,False
,23م14398,False
,15ت49598,False
,11ا32898,False
,12ا79498,False
,29ع84198,False
,53ل38212,False
,24م36998,False
,11ا23998,False
,29م42498,False
,29م65898,False
,63ب65716,False
,53س49416,False
,55ط34216,False
,99ب16677,False
,23و64155,False
,32م19398,False
,13ل11311,False
,19ق17998,False
,79و36753,False
,18ج56812,False
,35س13842,False
,65ج81416,False
,16م55998,False
,23ق84498,False
,6141144,False
,24م76213,False
,29ب34698,False
,11ا23298,False
,42م94116,False
,92ن84668,False
